Measure 2 Condition:
0. +1: 334  +2: 68  +3: 56  +4: 45  +5: 45  +6: 44  +7: 43  +8: 41  +9: 41  +10: 41  +11: 42  +12: 41  +13: 40  +14: 43  +15: 40  +16: 42  +17: 41  +18: 42  +19: 42  +20: 41  -1: 53  -2: 50  -3: 48  -4: 47  -5: 46  -6: 46  -7: 45  -8: 45  -9: 44  -10: 44  -11: 44  -12: 44  -13: 43  -14: 43  -15: 43  -16: 43  -17: 43  -18: 42  -19: 42  -20: 42  
1. +1: 5401  +2: 5122  +3: 5110  +4: 5098  +5: 5098  +6: 5097  +7: 5096  +8: 5096  +9: 5095  +10: 5095  +11: 5096  +12: 5095  +13: 5093  +14: 5096  +15: 5094  +16: 5095  +17: 5094  +18: 5096  +19: 5096  +20: 5095  -1: 5106  -2: 5103  -3: 5100  -4: 5100  -5: 5099  -6: 5099  -7: 5099  -8: 5099  -9: 5098  -10: 5098  -11: 5097  -12: 5098  -13: 5097  -14: 5097  -15: 5096  -16: 5096  -17: 5097  -18: 5096  -19: 5096  -20: 5096  
2. +1: 10404  +2: 10126  +3: 10113  +4: 10102  +5: 10101  +6: 10100  +7: 10099  +8: 10099  +9: 10098  +10: 10099  +11: 10100  +12: 10097  +13: 10097  +14: 10100  +15: 10098  +16: 10098  +17: 10098  +18: 10099  +19: 10098  +20: 10098  -1: 10109  -2: 10106  -3: 10104  -4: 10103  -5: 10102  -6: 10102  -7: 10102  -8: 10102  -9: 10101  -10: 10101  -11: 10100  -12: 10101  -13: 10101  -14: 10100  -15: 10100  -16: 10100  -17: 10100  -18: 10099  -19: 10099  -20: 10099  
3. +1: 15919  +2: 15641  +3: 15628  +4: 15617  +5: 15616  +6: 15616  +7: 15615  +8: 15614  +9: 15613  +10: 15613  +11: 15614  +12: 15613  +13: 15612  +14: 15615  +15: 15613  +16: 15614  +17: 15613  +18: 15614  +19: 15613  +20: 15613  -1: 15625  -2: 15622  -3: 15619  -4: 15618  -5: 15617  -6: 15617  -7: 15617  -8: 15617  -9: 15617  -10: 15616  -11: 15615  -12: 15616  -13: 15616  -14: 15616  -15: 15615  -16: 15614  -17: 15615  -18: 15614  -19: 15615  -20: 15614  
4. +1: 21413  +2: 21135  +3: 21122  +4: 21111  +5: 21110  +6: 21109  +7: 21108  +8: 21108  +9: 21107  +10: 21107  +11: 21108  +12: 21106  +13: 21106  +14: 21108  +15: 21106  +16: 21107  +17: 21106  +18: 21108  +19: 21107  +20: 21107  -1: 21118  -2: 21115  -3: 21112  -4: 21112  -5: 21110  -6: 21111  -7: 21111  -8: 21110  -9: 21110  -10: 21110  -11: 21109  -12: 21110  -13: 21109  -14: 21109  -15: 21108  -16: 21108  -17: 21108  -18: 21107  -19: 21108  -20: 21108  
5. +1: 26841  +2: 26563  +3: 26550  +4: 26539  +5: 26538  +6: 26537  +7: 26536  +8: 26535  +9: 26535  +10: 26535  +11: 26536  +12: 26534  +13: 26534  +14: 26536  +15: 26534  +16: 26535  +17: 26534  +18: 26536  +19: 26535  +20: 26535  -1: 26546  -2: 26543  -3: 26540  -4: 26539  -5: 26538  -6: 26539  -7: 26539  -8: 26538  -9: 26538  -10: 26538  -11: 26537  -12: 26537  -13: 26537  -14: 26537  -15: 26536  -16: 26535  -17: 26536  -18: 26535  -19: 26536  -20: 26535  
6. +1: 32393  +2: 32115  +3: 32102  +4: 32091  +5: 32090  +6: 32089  +7: 32089  +8: 32088  +9: 32087  +10: 32087  +11: 32088  +12: 32086  +13: 32086  +14: 32088  +15: 32086  +16: 32087  +17: 32086  +18: 32087  +19: 32087  +20: 32087  -1: 32098  -2: 32095  -3: 32092  -4: 32091  -5: 32090  -6: 32091  -7: 32091  -8: 32090  -9: 32090  -10: 32090  -11: 32088  -12: 32089  -13: 32089  -14: 32089  -15: 32088  -16: 32087  -17: 32088  -18: 32087  -19: 32088  -20: 32087  
7. +1: 38026  +2: 37748  +3: 37735  +4: 37724  +5: 37723  +6: 37722  +7: 37721  +8: 37720  +9: 37719  +10: 37720  +11: 37721  +12: 37719  +13: 37718  +14: 37721  +15: 37719  +16: 37720  +17: 37719  +18: 37720  +19: 37719  +20: 37719  -1: 37731  -2: 37727  -3: 37725  -4: 37724  -5: 37723  -6: 37723  -7: 37723  -8: 37723  -9: 37723  -10: 37722  -11: 37721  -12: 37722  -13: 37721  -14: 37721  -15: 37721  -16: 37719  -17: 37720  -18: 37720  -19: 37720  -20: 37720  
8. +1: 43575  +2: 43297  +3: 43284  +4: 43273  +5: 43272  +6: 43271  +7: 43271  +8: 43269  +9: 43269  +10: 43269  +11: 43270  +12: 43268  +13: 43268  +14: 43270  +15: 43268  +16: 43269  +17: 43268  +18: 43269  +19: 43269  +20: 43268  -1: 43280  -2: 43276  -3: 43274  -4: 43273  -5: 43272  -6: 43272  -7: 43272  -8: 43272  -9: 43272  -10: 43271  -11: 43270  -12: 43271  -13: 43270  -14: 43270  -15: 43270  -16: 43268  -17: 43269  -18: 43269  -19: 43269  -20: 43269  
9. +1: 49132  +2: 48854  +3: 48841  +4: 48830  +5: 48829  +6: 48828  +7: 48827  +8: 48826  +9: 48825  +10: 48826  +11: 48827  +12: 48825  +13: 48824  +14: 48827  +15: 48825  +16: 48826  +17: 48825  +18: 48826  +19: 48826  +20: 48825  -1: 48837  -2: 48833  -3: 48831  -4: 48830  -5: 48829  -6: 48829  -7: 48829  -8: 48828  -9: 48829  -10: 48828  -11: 48827  -12: 48828  -13: 48827  -14: 48827  -15: 48827  -16: 48825  -17: 48826  -18: 48825  -19: 48826  -20: 48826  
10. +1: 54581  +2: 54303  +3: 54290  +4: 54279  +5: 54278  +6: 54277  +7: 54276  +8: 54275  +9: 54274  +10: 54275  +11: 54276  +12: 54274  +13: 54273  +14: 54276  +15: 54274  +16: 54275  +17: 54274  +18: 54275  +19: 54275  +20: 54274  -1: 54286  -2: 54282  -3: 54280  -4: 54279  -5: 54278  -6: 54278  -7: 54278  -8: 54277  -9: 54278  -10: 54277  -11: 54276  -12: 54277  -13: 54276  -14: 54276  -15: 54275  -16: 54274  -17: 54275  -18: 54274  -19: 54275  -20: 54274  
